column,pandas_dtype,unit,description,provenance
source_row_id,int64,dimensionless identifier,Sequential identifier assigned to the eligible source-table row after applying DM >= 15% and complete-input eligibility filters.,constructed from source variables
source_label,str,text identifier,"Human-readable feedstock label constructed from non-missing Family, Type, and Sub Type values; missing components are omitted.",constructed from source variables
Family,str,text identifier,Feedstock family category taken directly from the Lallement et al. source dataset.,taken directly from Lallement et al.
Type,str,text identifier,Feedstock type taken directly from the Lallement et al. source dataset.,taken directly from Lallement et al.
Sub Type,str,text identifier,"Feedstock subtype taken directly from the Lallement et al. source dataset, when available.",taken directly from Lallement et al.
DM Mean (% FM),float64,% fresh matter,Dry matter content on a fresh-matter basis taken from the Lallement et al. source dataset.,taken directly from Lallement et al.
VS Mean (% FM),float64,% fresh matter,Volatile solids content on a fresh-matter basis taken from the Lallement et al. source dataset.,taken directly from Lallement et al.
VS/DM ratio,float64,dimensionless,"Volatile-solids-to-dry-matter ratio from the source table, used in target construction; dimensionless despite the original source-column wording.",taken directly from Lallement et al.
observed_BMP_VS,float64,Nm³ CH₄/t VS,Observed biochemical methane potential per volatile solids from the source dataset.,taken directly from Lallement et al.
computed_observed_BMP_DM,float64,Nm³ CH₄/t DM,Observed BMP per dry matter reconstructed as observed_BMP_VS multiplied by the VS/DM ratio.,constructed from source variables
included_DM_ge_15,bool,boolean,Eligibility flag indicating DM Mean (% FM) >= 15 in the present modeling dataset.,constructed from source variables
complete_model_inputs,bool,boolean,Eligibility flag indicating all required model predictors and target-construction values were available.,constructed from source variables
C/N,float64,dimensionless,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
Carbon Mean (% DM),float64,% dry matter,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
Hydrogen Mean (% DM),float64,% dry matter,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
Nitrogen Mean (% DM),float64,% dry matter,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
Sulfur Mean (% DM),float64,% dry matter,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
Oxygen Mean (% DM),float64,% dry matter,Source compositional descriptor or target-construction field used in the present analysis.,taken directly from Lallement et al.
